run_id	Step	root_mean_squared_error
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	12515.487821634484
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	12567.482160581116
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	12522.211050216963
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	12497.666846104326
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	12477.299780533227
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	12511.260869421447
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	12507.741925578815
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	12488.09720225941
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	12481.408243307425
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	12458.838730166804
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	12476.497038465479
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	12457.521742793246
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	12475.470745754119
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	12480.16529760291
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	12462.397701964797
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	12479.13439087453
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	12468.313528270242
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	12468.313076601215
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	12452.52234270317
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	12454.087512438029
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	12458.34870942443
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	12454.880866196512
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	12447.618133750426
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	12438.363353663874
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	12480.970417075961
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	12473.463904050523
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	12480.423939657447
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	12450.099414278968
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	12485.74205947188
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	12465.123188036745
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	12454.640154866864
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	12463.320903412254
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	12445.375580709147
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	12459.342201533549
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	12486.036194534976
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	12480.759533620068
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	12480.983367119723
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	12496.709858481627
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	12479.012294367247
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	12444.091474442539
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	12457.352835138627
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	12476.538711027451
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	12479.64707114028
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	12479.389239623386
