run_id	Step	median_absolute_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	55.928125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	27.490625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	16.12734375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	18.434375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	14.26171875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	15.7515625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	14.234375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	12.65546875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	13.146875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	10.01015625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	19.22734375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	14.26875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	33.2140625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	13.6984375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	25.63515625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	6.42421875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	16.5578125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	13.8015625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	21.165625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	11.74453125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	15.7359375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	6.8328125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	9.1296875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	17.48671875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	18.984375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	16.54453125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	15.0546875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	7.01953125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	12.071875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	19.98515625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	9.24453125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	14.4296875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	10.46796875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	10.9546875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	24.50703125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	17.2859375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	7.54140625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	6.71484375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	16.54375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	15.18828125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	10.253125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	10.903125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	9.7765625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	6.91640625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	5.4953125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	6.41328125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	6.5546875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	13.35703125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	7.8296875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	7.5046875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	10.25
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	13.3625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	6.13125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	4.84765625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	16.4921875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	9.653125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	17.49453125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	11.09921875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	32.37578125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	22.278125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	10.6046875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	19.48046875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	3.80546875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	15.7546875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	8.67890625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	11.99375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	4.32265625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	21.6109375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	11.85078125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	18.8234375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	21.0078125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	19.30390625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	72	25.19765625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	73	8.45234375
